City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Puerto Penasco,MX,85.91,few clouds,31.3167,-113.5333,Playa Bonita Resort
292,Pandan,PH,86.04,overcast clouds,14.0453,124.1694,Bonifacio Lodge
293,Innisfail,AU,80.4,broken clouds,-17.5333,146.0333,Moondarra Motel
295,Muli,MV,81.9,clear sky,2.9167,73.5667,Medhufushi Island Resort
296,Kailua,US,80.02,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
297,Pasighat,IN,83.71,broken clouds,28.0667,95.3333,Siang Guest House
298,Amarpatan,IN,84.24,broken clouds,24.3167,80.9833,शेख अब्दुल रशीद रोड
300,Erzin,TR,77.31,few clouds,36.9559,36.2,Artemis Otel
301,Kokopo,PG,82.2,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
302,Barinas,VE,75.24,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
303,Oussouye,SN,78.89,overcast clouds,12.485,-16.5469,Auberge du Routard
304,Rantepao,ID,83.5,scattered clouds,-2.9701,119.8978,Hotel Luta Resort
305,Seminole,US,77.34,few clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
306,Zhangzhou,CN,87.73,broken clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
307,Sumenep,ID,81.63,overcast clouds,-7.0167,113.8667,Family Nur Hotel
310,Kankon,IN,82.2,overcast clouds,15.0167,74.0167,Palolem Beach Resort
312,Siavonga,ZM,83.8,broken clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
313,Umm Lajj,SA,84.27,clear sky,25.0213,37.2685,Moon light Furnished Units
314,Haapiti,PF,78.53,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
315,Kalmunai,LK,88.86,clear sky,7.4167,81.8167,VS Villa
316,Itarema,BR,76.73,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
317,Borba,BR,77.32,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
318,Khuzdar,PK,83.97,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
320,Galesong,ID,86.02,scattered clouds,-5.3166,119.3661,Sapriadi Appy
321,Candelaria,PH,85.91,overcast clouds,13.9311,121.4233,Casa de Provincia
322,Xuddur,SO,81.41,clear sky,4.1213,43.8894,Banjanay Hotel
323,Kasempa,ZM,78.66,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
324,Nuevo Laredo,MX,84.6,broken clouds,27.4763,-99.5164,City Express Nuevo Laredo
325,Tumkur,IN,78.6,overcast clouds,13.3422,77.1017,Vaishali Comforts
326,Seoul,KR,76.39,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
327,Freetown,SL,75.24,moderate rain,8.484,-13.2299,The Country Lodge Hotel
329,Beatrice,US,78.89,broken clouds,40.2681,-96.747,Victorian Inn Beatrice
330,Kathmandu,NP,80.82,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
331,Sigli,ID,85.82,overcast clouds,5.3848,95.9609,Losmen Dua Mali
332,Shirvan,AZ,82.87,clear sky,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
333,Le Port,RE,75.2,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
334,Houston,US,81.09,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
335,Gushikawa,JP,83.62,few clouds,26.3544,127.8686,Kirari Guest House
336,Chengdu,CN,80.94,scattered clouds,30.6667,104.0667,Crowne Plaza Chengdu City Center
337,Salinopolis,BR,79.32,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
338,Vega De Alatorre,MX,75.85,overcast clouds,20.0333,-96.6333,Hotel D Luxe
339,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
340,Chirongui,YT,78.73,light rain,-12.9319,45.1483,La Villa Mahatsara
341,Kismayo,SO,80.56,broken clouds,-0.3582,42.5454,Agan-Hotel
342,Nanakuli,US,79.99,scattered clouds,21.3906,-158.1547,Camp Pālehua
343,Road Town,VG,82.49,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
344,Gambela,ET,77.29,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
346,Darnah,LY,76.78,few clouds,32.767,22.6367,فندق الفردوس
347,Weligama,LK,85.57,few clouds,5.9667,80.4167,Weligama Bay Resort
349,Banjar,ID,85.21,overcast clouds,-8.19,114.9675,The Hamsa Resort
350,Kloulklubed,PW,88.3,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
351,Kassala,SD,83.1,broken clouds,15.451,36.4,Amassi Hotel Gash
352,Omboue,GA,76.14,overcast clouds,-1.5746,9.2618,Hotel Olako
353,Auki,SB,75.58,overcast clouds,-8.7676,160.7034,Auki Motel
354,Gizo,SB,76.15,moderate rain,-8.103,156.8419,Imagination Island
355,Sibolga,ID,83.25,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
356,Iralaya,HN,80.55,scattered clouds,15.0,-83.2333,Iglesia morava renovada
357,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
358,Sandakan,MY,87.48,overcast clouds,5.8402,118.1179,Hotel Sandakan
360,Montepuez,MZ,75.58,broken clouds,-13.1256,38.9997,PembaAparthotel
361,Riyadh,SA,87.94,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
362,Jacqueville,CI,75.09,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
363,Mandera,KE,82.53,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
364,Puerto Maldonado,PE,76.71,broken clouds,-12.6,-69.1833,Wasai Hotel
365,Caborca,MX,79.02,broken clouds,30.5838,-111.101,Hotel Los Lagos
366,Kumluca,TR,78.87,few clouds,36.3703,30.2869,Akkol Apart
367,Gilbues,BR,77.23,broken clouds,-9.8317,-45.3439,Hotel Camapuã
368,Cienaga,CO,77.99,broken clouds,11.007,-74.2476,The Journey Hostel
369,Luau,AO,76.84,broken clouds,-10.7073,22.2247,Kimbo Hotel
370,Macapa,BR,77.0,scattered clouds,0.0389,-51.0664,Atalanta Hotel
371,Mareeba,AU,87.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
372,Zalantun,CN,75.07,overcast clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
373,Shetpe,KZ,80.92,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
374,Roebourne,AU,83.84,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
375,Karratha,AU,84.09,clear sky,-20.7377,116.8463,ibis Styles Karratha
376,Eyl,SO,86.16,clear sky,7.9803,49.8164,Amiin Hotel
377,Potam,MX,84.43,broken clouds,27.6,-110.3833,Ejido La Pimienta
378,Lufilufi,WS,83.79,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
379,Bubaque,GW,79.56,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
380,Pangai,TO,76.57,light rain,-19.8,-174.35,Ha'apai Beach Resort
381,Catuday,PH,81.79,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
382,Bac Lieu,VN,86.49,moderate rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
383,Zlitan,LY,79.52,scattered clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
384,Unnao,IN,85.98,overcast clouds,26.5333,80.5,OYO 48934 Fantasy Motels
385,Paralimni,CY,80.15,clear sky,35.0375,33.9833,Amore Hotel Apartments
387,Carutapera,BR,78.71,broken clouds,-1.195,-46.02,Lidera
388,Qiqihar,CN,78.67,clear sky,47.3408,123.9672,Ji Hotel Qiqihar Bu Kui Street
389,Qalyub,EG,77.79,clear sky,30.1792,31.2056,كمال فهمى محمد فهمى
390,Takanabe,JP,75.2,broken clouds,32.1333,131.5,Hotel AZ Miyazaki Takanabe
391,Sabha,LY,84.6,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
392,Nishihara,JP,83.68,few clouds,26.1842,127.7558,Minshuku Agaihama
393,Siirt,TR,85.08,broken clouds,37.9326,41.9403,Barden Otel
394,Ergani,TR,79.32,overcast clouds,38.2653,39.7621,Serkan Hotel
395,Muscat,OM,89.53,clear sky,23.6139,58.5922,Mutrah Hotel
396,Hendersonville,US,78.46,clear sky,36.3048,-86.62,Hyatt Place Nashville/Hendersonville
397,Yashan,CN,87.91,broken clouds,22.1975,109.9419,Xin Kaibin Guan
398,Jacareacanga,BR,77.9,broken clouds,-6.2222,-57.7528,Casa do Ian😎
399,Puerto Colombia,CO,79.25,broken clouds,10.9878,-74.9547,Hotel El Emigrante
400,Dunmore Town,BS,84.0,clear sky,25.5,-76.65,Coral Sands Hotel
401,Canutama,BR,77.27,broken clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
402,Macau,MO,89.4,few clouds,22.2006,113.5461,Grand Emperor Hotel Macau
403,Marzuq,YE,85.51,clear sky,14.4,46.4667,حيد القفلة
404,Bajil,YE,89.62,few clouds,15.0584,43.2851,فندق حضرموت
405,Kaset Sombun,TH,75.97,overcast clouds,16.2805,101.9542,โรงแรมบุญเทวา
406,Arlit,NE,85.62,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
407,Rameswaram,IN,82.4,few clouds,9.2833,79.3,Daiwik Hotels Rameswaram
408,Kuala Terengganu,MY,84.99,broken clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
409,Ajdabiya,LY,82.26,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
