City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Tautira,PF,2022-09-19 18:09:48,-17.7333,-149.15,77.2,76,19,19.3
139,Victoria,HK,2022-09-19 18:05:03,22.2855,114.1577,86.38,81,48,5.01
140,Mercedes,AR,2022-09-19 18:08:34,-34.6515,-59.4307,69.85,45,92,11.79
141,Henties Bay,NA,2022-09-19 18:09:49,-22.116,14.2845,55.09,81,0,14.47
142,Mount Isa,AU,2022-09-19 18:09:51,-20.7333,139.5,71.37,53,47,0.0
143,Airai,TL,2022-09-19 18:09:52,-8.9266,125.4092,60.84,91,98,1.97
144,Saint-Philippe,RE,2022-09-19 18:09:52,-21.3585,55.7679,69.39,80,31,12.21
145,Sioux Lookout,CA,2022-09-19 18:09:53,50.1001,-91.917,69.17,46,84,4.61
146,Guerrero Negro,MX,2022-09-19 18:09:53,27.9769,-114.0611,72.84,67,88,15.79
147,Thompson,CA,2022-09-19 18:06:37,55.7435,-97.8558,64.67,46,29,8.39
148,Palmerston,AU,2022-09-19 18:09:54,-12.486,130.9833,80.58,83,40,5.75
149,Saint George,US,2022-09-19 18:09:54,37.1041,-113.5841,85.42,21,0,5.75
150,Husavik,IS,2022-09-19 18:09:54,66.0449,-17.3389,57.34,77,93,9.35
151,Tiksi,RU,2022-09-19 18:09:55,71.6872,128.8694,34.09,98,100,22.55
152,Maceio,BR,2022-09-19 18:09:55,-9.6658,-35.7353,83.64,51,0,11.5
153,Dinguiraye,GN,2022-09-19 18:09:56,11.3,-10.7167,76.73,86,92,0.47
154,Atuona,PF,2022-09-19 18:05:49,-9.8,-139.0333,75.85,80,32,20.76
155,Quelimane,MZ,2022-09-19 18:09:57,-17.8786,36.8883,76.35,77,0,11.77
156,Wadi Musa,JO,2022-09-19 18:09:57,30.3222,35.4793,66.9,68,0,6.73
157,Abaza,RU,2022-09-19 18:09:57,52.655,90.0928,46.85,79,56,5.1
158,Mar Del Plata,AR,2022-09-19 18:09:58,-38.0023,-57.5575,57.09,97,100,10.36
159,Pafos,CY,2022-09-19 18:09:58,34.7667,32.4167,80.38,69,20,8.05
160,Ribeira Grande,PT,2022-09-19 18:09:59,38.5167,-28.7,79.2,83,40,14.97
161,Taseyevo,RU,2022-09-19 18:09:59,57.2169,94.8978,50.25,87,100,11.45
162,Palafrugell,ES,2022-09-19 18:09:30,41.9174,3.1631,72.9,55,40,3.0
163,College,US,2022-09-19 18:10:00,64.8569,-147.8028,49.8,73,75,3.44
164,Rovaniemi,FI,2022-09-19 18:10:00,66.5,25.7167,45.81,81,100,14.97
165,Sambava,MG,2022-09-19 18:10:01,-14.2667,50.1667,69.98,88,9,11.59
166,Banda Aceh,ID,2022-09-19 18:10:01,5.5577,95.3222,79.34,79,98,11.01
167,Grindavik,IS,2022-09-19 18:10:02,63.8424,-22.4338,54.07,100,75,18.41
168,Oyem,GA,2022-09-19 18:10:02,1.5995,11.5793,68.07,96,92,2.68
169,Cidreira,BR,2022-09-19 18:10:03,-30.1811,-50.2056,59.29,90,100,9.35
170,Camargo,MX,2022-09-19 18:10:03,27.6667,-105.1667,82.71,46,20,8.23
171,Baykit,RU,2022-09-19 18:10:05,61.67,96.37,45.07,97,100,4.21
172,Port Blair,IN,2022-09-19 18:10:06,11.6667,92.75,81.46,80,100,14.14
173,San Patricio,US,2022-09-19 18:10:06,28.017,-97.5169,92.07,50,20,9.53
174,Abay,KZ,2022-09-19 18:10:07,49.6311,72.8539,39.58,30,0,9.69
175,Tiznit,MA,2022-09-19 18:10:07,29.5833,-9.5,71.37,64,0,7.72
176,Saint-Francois,FR,2022-09-19 18:10:08,46.4154,3.9054,60.24,48,0,8.05
177,Fairbanks,US,2022-09-19 18:10:08,64.8378,-147.7164,49.82,74,75,3.44
178,Dikson,RU,2022-09-19 18:10:09,73.5069,80.5464,34.66,63,99,8.68
179,Sindou,BF,2022-09-19 18:10:09,10.6667,-5.1667,74.82,89,92,1.74
180,Yambio,SS,2022-09-19 18:10:09,4.5721,28.3955,69.53,93,77,3.47
181,Knysna,ZA,2022-09-19 18:10:10,-34.0363,23.0471,52.83,75,40,3.71
182,Upernavik,GL,2022-09-19 18:10:10,72.7868,-56.1549,32.32,92,100,5.61
183,Banapur,IN,2022-09-19 18:10:11,19.7833,85.1833,79.43,89,100,4.88
184,Goure,NE,2022-09-19 18:10:11,13.9835,10.2704,89.69,41,42,10.07
185,Gornyy,RU,2022-09-19 18:10:11,55.1153,83.9059,55.06,43,100,7.43
186,Kodiak,US,2022-09-19 18:10:12,57.79,-152.4072,54.91,88,75,11.5
187,Linhares,BR,2022-09-19 18:10:12,-19.3911,-40.0722,78.31,47,35,10.25
188,Rawson,AR,2022-09-19 18:10:13,-43.3002,-65.1023,40.3,95,100,30.09
189,Asau,RO,2022-09-19 18:10:13,46.4333,26.4,52.72,88,97,6.38
190,Lagoa,PT,2022-09-19 18:10:16,39.05,-27.9833,74.46,84,5,10.31
191,Sorland,NO,2022-09-19 18:10:16,67.667,12.6934,48.06,70,99,24.45
192,Norman Wells,CA,2022-09-19 18:10:17,65.282,-126.8329,53.65,51,44,4.47
