City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Carauari,BR,-4.8828,-66.8958,72.91,91,5,1.25,clear sky
106,Nushki,PK,29.5542,66.0215,86.7,11,0,4.56,clear sky
107,Arraial Do Cabo,BR,-22.9661,-42.0278,69.3,90,81,15.73,broken clouds
108,Freeport,US,40.6576,-73.5832,70.02,77,0,9.22,clear sky
109,Hasaki,JP,35.7333,140.8333,73.29,73,100,18.99,overcast clouds
110,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,82,13.89,broken clouds
111,Ancud,CL,-41.8697,-73.8203,40.15,88,26,1.43,scattered clouds
112,Jutai,BR,-5.1833,-68.9,72.72,95,42,1.52,scattered clouds
113,Leningradskiy,RU,69.3833,178.4167,34.52,84,65,11.7,broken clouds
114,Bambous Virieux,MU,-20.3428,57.7575,76.21,78,75,11.5,broken clouds
115,Jinchang,CN,38.4953,102.1739,73.4,25,77,17.47,broken clouds
116,Mount Gambier,AU,-37.8333,140.7667,59.59,76,93,2.53,overcast clouds
117,Hirara,JP,24.8,125.2833,84.06,61,75,21.85,broken clouds
118,Lagoa,PT,39.05,-27.9833,73.11,82,18,7.67,few clouds
119,Rio Grande City,US,26.3798,-98.8203,79.11,70,78,11.5,broken clouds
120,Sayyan,YE,15.1718,44.3244,68.81,30,22,3.51,few clouds
121,Puerto Ayora,EC,-0.7393,-90.3518,67.55,88,60,4.0,broken clouds
122,Lampang,TH,18.3333,99.5,87.71,62,40,3.44,scattered clouds
123,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,61.16,87,100,5.48,overcast clouds
124,Hay River,CA,60.8156,-115.7999,46.38,61,20,6.91,few clouds
125,Tiarei,PF,-17.5333,-149.3333,78.82,74,26,18.7,scattered clouds
126,Grand Gaube,MU,-20.0064,57.6608,76.37,66,5,13.0,clear sky
127,Victoria,HK,22.2855,114.1577,89.96,67,77,11.01,broken clouds
128,Cairns,AU,-16.9167,145.7667,92.07,51,88,12.66,overcast clouds
129,Vao,NC,-22.6667,167.4833,72.5,80,1,19.17,clear sky
130,Norman Wells,CA,65.282,-126.8329,55.44,50,75,5.75,broken clouds
131,Hobyo,SO,5.3505,48.5268,81.41,75,24,16.89,few clouds
132,Manjeshwar,IN,12.7194,74.8861,79.75,72,92,4.12,overcast clouds
133,Tucuman,AR,-26.8241,-65.2226,53.6,94,100,1.14,overcast clouds
134,Moron,AR,-34.6534,-58.6198,55.15,82,97,3.2,overcast clouds
135,Cozumel,MX,20.5083,-86.9458,77.95,93,8,6.29,clear sky
136,Lebu,CL,-37.6167,-73.65,45.21,83,76,3.87,broken clouds
137,Mar Del Plata,AR,-38.0023,-57.5575,46.87,86,100,3.0,overcast clouds
138,Khanskaya,RU,44.677,39.9616,60.57,88,100,0.0,light rain
139,Port Hardy,CA,50.6996,-127.4199,55.4,93,0,3.44,clear sky
140,Gerede,TR,40.8008,32.1969,48.42,79,69,3.36,broken clouds
141,Key West,US,24.5557,-81.7826,86.0,75,0,3.44,clear sky
142,Clyde River,CA,70.4692,-68.5914,32.23,64,100,9.22,overcast clouds
143,Saldanha,ZA,-33.0117,17.9442,42.85,67,38,4.12,scattered clouds
144,Porto Novo,BJ,6.4965,2.6036,76.82,92,100,3.4,overcast clouds
145,Fort Nelson,CA,58.8053,-122.7002,44.19,81,20,5.75,few clouds
146,Kalmeshwar,IN,21.2333,78.9,80.22,90,100,13.44,overcast clouds
147,Chokurdakh,RU,70.6333,147.9167,33.31,98,100,14.74,snow
148,Grandola,PT,38.1772,-8.5668,65.35,87,92,1.32,overcast clouds
149,Necochea,AR,-38.5473,-58.7368,44.74,68,100,8.61,light rain
150,Maceio,BR,-9.6658,-35.7353,69.24,100,0,3.44,clear sky
151,Baykit,RU,61.67,96.37,42.53,43,76,3.8,broken clouds
152,Kijang,KR,35.2442,129.2139,74.93,53,28,16.73,scattered clouds
153,Oktyabrskoye,RU,43.0645,44.7417,69.94,68,96,6.71,overcast clouds
154,Nemuro,JP,43.3236,145.575,56.79,66,94,14.85,overcast clouds
155,Carnarvon,AU,-24.8667,113.6333,72.09,50,99,15.23,overcast clouds
156,Kavaratti,IN,10.5669,72.642,80.98,75,76,9.8,broken clouds
157,Petauke,ZM,-14.2426,31.3253,76.42,37,2,9.01,clear sky
158,Svetlaya,RU,46.5389,138.3297,62.38,45,0,10.6,clear sky
159,San Angelo,US,31.4638,-100.437,79.41,59,28,1.99,scattered clouds
160,Taiyuan,CN,37.8694,112.5603,69.66,46,0,6.71,clear sky
161,Jasper,US,37.2001,-94.3502,80.55,60,0,6.91,clear sky
162,Khash,IR,28.2211,61.2158,84.47,12,0,1.14,clear sky
163,Erenhot,CN,43.6475,111.9767,72.28,15,2,22.1,clear sky
164,Kargil,IN,34.5667,76.1,54.36,48,88,3.53,overcast clouds
165,Evensk,RU,61.95,159.2333,45.3,89,100,14.25,overcast clouds
166,Codajas,BR,-3.8367,-62.0569,77.52,63,73,2.44,broken clouds
167,Port Macquarie,AU,-31.4333,152.9167,65.89,72,100,16.37,moderate rain
168,Nelson Bay,AU,-32.7167,152.15,70.0,79,100,15.99,heavy intensity rain
169,Egvekinot,RU,66.3167,-179.1667,36.3,95,100,13.82,light rain
170,Namibe,AO,-15.1961,12.1522,66.36,82,91,5.37,overcast clouds
171,Yuanping,CN,38.7153,112.7575,70.43,37,9,6.08,clear sky
172,Ha Giang,VN,22.8333,104.9833,90.57,58,92,4.38,overcast clouds
173,Yulara,AU,-25.2406,130.9889,78.62,18,0,9.71,clear sky
174,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,88,4,0.65,clear sky
175,Flinders,AU,-34.5833,150.8552,68.18,80,100,5.99,moderate rain
176,Berlevag,NO,70.8578,29.0864,42.8,75,75,19.57,broken clouds
177,Saquarema,BR,-22.92,-42.5103,68.74,89,80,10.67,broken clouds
178,Zhangye,CN,38.9342,100.4517,76.03,21,93,23.55,overcast clouds
179,Singaparna,ID,-7.3515,108.111,80.44,69,100,5.19,overcast clouds
180,Vanino,RU,49.0869,140.2543,61.54,38,2,7.9,clear sky
181,Cherskiy,RU,68.75,161.3,43.65,54,100,24.56,overcast clouds
182,Durango,MX,24.8333,-104.8333,59.99,74,48,0.78,scattered clouds
183,Ust-Nera,RU,64.5667,143.2,31.98,88,100,6.26,light snow
184,Quito,EC,-0.2299,-78.5249,49.15,92,91,1.1,light rain
185,Isangel,VU,-19.55,169.2667,78.22,77,20,5.06,few clouds
186,Port Blair,IN,11.6667,92.75,87.84,66,40,10.36,scattered clouds
187,Vrangel,RU,42.7297,133.0839,61.09,50,0,9.19,clear sky
188,Chara,RU,56.9064,118.2631,47.3,61,100,5.14,light rain
189,Portland,US,45.5234,-122.6762,69.67,61,0,5.99,clear sky
190,Constitucion,CL,-35.3333,-72.4167,43.36,84,5,4.45,clear sky
191,Vila Velha,BR,-20.3297,-40.2925,73.35,88,0,11.5,clear sky
192,Butaritari,KI,3.0707,172.7902,81.7,77,66,10.8,light rain
193,Shingu,JP,33.7333,135.9833,76.6,58,86,7.45,overcast clouds
194,Likasi,CD,-10.9814,26.7333,76.28,44,57,6.46,broken clouds
195,Goundam,ML,16.4145,-3.6708,80.69,67,38,13.44,scattered clouds
196,Sitka,US,57.0531,-135.33,56.08,94,100,3.24,overcast clouds
197,Nikolskoye,RU,59.7035,30.7861,50.79,94,99,4.97,overcast clouds
198,Buzuluk,RU,52.7807,52.2635,73.4,20,97,11.41,overcast clouds
199,Bethel,US,41.3712,-73.414,63.45,76,75,0.0,broken clouds
200,Cockburn Town,TC,21.4612,-71.1419,81.46,86,100,33.04,overcast clouds
201,Illela,NG,13.7292,5.2975,77.95,81,94,7.09,overcast clouds
202,Djibo,BF,14.1022,-1.6306,75.49,86,80,8.57,broken clouds
203,Malinalco,MX,18.95,-99.5,66.54,92,100,1.77,overcast clouds
204,Mae Hong Son,TH,19.3003,97.9685,84.34,70,40,4.61,scattered clouds
205,Pachino,IT,36.7186,15.0907,75.0,66,18,6.26,few clouds
206,Thompson,CA,55.7435,-97.8558,39.36,100,100,5.75,mist
207,San-Pedro,CI,4.7485,-6.6363,73.58,92,100,4.14,overcast clouds
208,Port Moresby,PG,-9.4431,147.1797,87.22,66,75,11.5,haze
209,Ramhormoz,IR,31.28,49.6035,96.1,23,17,3.51,few clouds
210,Sarakhs,IR,36.5449,61.1577,87.87,13,0,2.04,clear sky
211,Caxito,AO,-8.5785,13.6643,73.17,78,100,1.48,overcast clouds
212,Ipswich,GB,52.0592,1.1555,54.3,93,39,0.89,scattered clouds
213,Alihe,CN,50.5667,123.7167,60.94,39,100,7.29,overcast clouds
214,Chuy,UY,-33.6971,-53.4616,49.17,83,100,6.11,overcast clouds
215,Camana,PE,-16.6228,-72.7111,58.91,89,98,10.69,overcast clouds
216,Oistins,BB,13.0667,-59.5333,84.29,74,75,25.32,broken clouds
217,San Jose De Guanipa,VE,8.8872,-64.1651,75.0,88,100,3.47,overcast clouds
218,Bam,IR,29.106,58.357,91.98,10,0,9.1,clear sky
219,Tabat,ID,-2.635,115.2274,87.03,61,100,2.59,overcast clouds
220,Bondoukou,CI,8.0333,-2.8,69.66,97,98,5.95,overcast clouds
221,Sarangpur,IN,23.5667,76.4667,83.82,63,60,14.32,broken clouds
